Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Daily_Return,Volatility,Log_Return,Cumulative_Return
2011-09-29,MUNDRAPORT,EQ,160.3,159.8,166.75,158.15,163.6,163.95,161.88,3079459,49851498265000.0,21267.0,2379249,0.7726000000000001,0.022769806612601196,4.566655461817725,0.022514443675149813,1.0154846701765248
2011-09-30,MUNDRAPORT,EQ,163.95,163.75,169.8,162.0,164.3,164.35,166.37,2712461,45126373805000.0,21888.0,1730956,0.6381,0.0024397682220189676,5.02368796713719,0.002436796819571214,1.0179622174047689
2011-10-03,MUNDRAPORT,EQ,164.35,163.6,164.0,151.35,152.5,153.1,157.52,1642213,25867948295000.0,15141.0,1017797,0.6198,-0.06845147550958319,5.012316409721129,-0.07090699744659032,0.9482812016104053
2011-10-04,MUNDRAPORT,EQ,153.1,152.5,159.8,146.7,148.75,147.45,151.51,1108391,16793048394999.998,12293.0,632579,0.5707,-0.03690398432397135,5.275349826424866,-0.03760216740235291,0.9132858470114582
2011-10-05,MUNDRAPORT,EQ,147.45,153.55,153.9,147.6,150.3,150.65,149.86,643151,9638090865000.0,8048.0,306497,0.4765999999999999,0.021702271956595576,5.17068151892087,0.021470130315025107,0.9331062248374106
2011-10-07,MUNDRAPORT,EQ,150.65,155.55,157.8,151.2,156.05,156.45,154.26,806599,12442460195000.0,12778.0,464503,0.5759000000000001,0.0384998340524394,4.960817526175027,0.03777720453858087,0.9690306596469491
2011-10-10,MUNDRAPORT,EQ,156.45,155.25,157.85,153.1,153.6,154.85,155.35,574856,8930422825000.0,10275.0,319984,0.5566,-0.010226909555768549,4.965920702421862,-0.010279563695679275,0.959120470733973
2011-10-11,MUNDRAPORT,EQ,154.85,155.9,159.5,152.25,153.0,153.45,155.94,624082,9731944730000.0,8572.0,264062,0.4231,-0.009041007426541903,4.9547452004809704,-0.00908212535346671,0.9504490554351188
2011-10-12,MUNDRAPORT,EQ,153.45,155.25,156.85,153.45,155.2,155.0,155.16,606780,9414588120000.0,9766.0,361648,0.596,0.010101010101010166,4.950286408684308,0.010050335853501506,0.9600495509445646
2011-10-13,MUNDRAPORT,EQ,155.0,155.0,159.0,154.5,157.1,156.4,156.77,843751,13227185860000.0,11702.0,499545,0.5921000000000001,0.00903225806451613,4.834348048529309,0.008991711191964086,0.9687209662434187
2011-10-14,MUNDRAPORT,EQ,156.4,155.7,157.3,154.5,154.9,155.45,155.95,499700,7792885745000.0,3621.0,329165,0.6587000000000001,-0.006074168797954083,4.690931901759998,-0.006092691606448007,0.9628367915763391
2011-10-17,MUNDRAPORT,EQ,155.45,156.05,157.6,153.1,156.0,155.9,155.14,331198,5138289705000.0,3742.0,74593,0.2252,0.002894821486008503,4.6067770445863525,0.0028906395589681573,0.9656240322081138
2011-10-18,MUNDRAPORT,EQ,155.9,157.5,157.5,150.8,152.5,152.25,153.14,355368,5441975650000.0,5778.0,130618,0.3676,-0.023412443874278432,4.642857417763976,-0.02369086947372448,0.9430164137503869
2011-10-19,MUNDRAPORT,EQ,152.25,153.05,155.25,149.55,150.25,150.4,151.71,1057725,16046229930000.002,10632.0,547343,0.5175,-0.012151067323481035,4.747739074283264,-0.012225495074266873,0.9315577578197584
2011-10-20,MUNDRAPORT,EQ,150.4,148.0,152.8,147.6,152.4,151.8,149.91,370257,5550683630000.0,5969.0,116754,0.3153,0.009308510638297962,4.751409763273383,0.009265453445790191,0.9402291731186125
2011-10-21,MUNDRAPORT,EQ,151.8,149.0,153.0,149.0,151.2,150.45,151.31,300342,4544468405000.0,4489.0,88665,0.2952,-0.008893280632411238,4.476264890520656,-0.008933061885475496,0.9318674512232887
2011-10-24,MUNDRAPORT,EQ,150.45,155.05,157.6,151.65,157.2,156.5,155.64,1167828,18176262395000.0,13423.0,760594,0.6513,0.040212695247590746,4.339156933832027,0.03942520690415385,0.9693403530504799
2011-10-25,MUNDRAPORT,EQ,156.5,156.5,162.5,155.5,161.3,161.25,160.28,1139611,18265982155000.0,21068.0,584330,0.5127,0.030351437699680517,4.5125089300509424,0.029899945695673967,0.9987612263858779
2011-10-26,MUNDRAPORT,EQ,161.25,162.5,163.0,160.6,161.7,161.75,161.77,188437,3048384360000.0,2479.0,72581,0.3852,0.0031007751937983663,4.714733346436396,0.003095977705127992,1.001858160421183
2011-10-28,MUNDRAPORT,EQ,161.75,162.4,170.45,162.4,164.65,163.4,165.13,1051878,17370059790000.0,12814.0,771889,0.7338,0.010200927357032485,4.924204451012087,0.01014924904489259,1.0120780427376896
2011-10-31,MUNDRAPORT,EQ,163.4,160.05,166.95,160.05,163.6,163.95,164.37,840954,13823108065000.0,10954.0,538770,0.6406999999999999,0.0033659730722153114,4.924204451012087,0.0033603208647546394,1.015484670176525
2011-11-01,MUNDRAPORT,EQ,163.95,156.0,163.95,156.0,159.0,160.1,161.07,512462,8254170715000.001,9286.0,246330,0.4807,-0.023482769136931925,4.615091805165395,-0.023762883287988187,0.9916382781046762
2011-11-02,MUNDRAPORT,EQ,160.1,157.4,159.5,155.1,158.3,158.05,157.28,1042409,16394754965000.0,11269.0,394476,0.3784,-0.01280449718925658,4.610785411071101,-0.012887181341042133,0.9789408485599256
2011-11-03,MUNDRAPORT,EQ,158.05,163.0,163.6,157.55,163.0,162.2,159.73,496651,7933085234999.999,9731.0,276094,0.5559000000000001,0.02625751344511218,4.383127788715143,0.025918703019685685,1.0046454010529573
2011-11-04,MUNDRAPORT,EQ,162.2,164.5,167.5,163.55,165.4,165.0,165.31,1747474,28886964430000.0,17686.0,1247209,0.7137000000000001,0.017262638717632672,4.544499277796053,0.017115332219268177,1.0219882316506657
2011-11-08,MUNDRAPORT,EQ,165.0,165.05,166.7,160.2,161.25,161.55,163.69,873158,14292919144999.998,11687.0,435289,0.4985,-0.020909090909090877,4.640499632990266,-0.021130781630073314,1.000619386807061
2011-11-09,MUNDRAPORT,EQ,161.55,162.15,163.95,156.1,159.4,158.65,159.54,886539,14143965815000.0,12205.0,501429,0.5656,-0.017951098731043058,4.604588672594132,-0.018114174241302728,0.9826571694022916
2011-11-11,MUNDRAPORT,EQ,158.65,159.9,162.9,150.0,150.25,150.45,153.78,2472593,38022378055000.0,26415.0,1041188,0.4211,-0.05168610148124808,4.7944183557652185,-0.053069714953150396,0.9318674512232888
2011-11-14,MUNDRAPORT,EQ,150.45,158.65,158.65,151.05,155.6,155.15,155.67,1554235,24195493010000.0,17565.0,872709,0.5615,0.0312396144898639,4.790376180327157,0.030761587818335125,0.9609786311551565
2011-11-15,MUNDRAPORT,EQ,155.15,154.5,156.05,141.0,141.9,144.6,147.91,1354549,20034600995000.0,18575.0,634410,0.4684,-0.0679987109249115,5.596104730933294,-0.07042108116972502,0.8956333230102198
